names,x,y,size
employee_1,83.97371322408986,113.31552547229703,12.215399739986232
employee_2,78.89388559063052,106.88477875340524,10.514104843569912
employee_3,85.18150830480553,111.24396139225917,9.653055152835279
employee_4,92.18423885126421,112.4610469383316,9.096688913232134
employee_5,78.12677300221331,105.78729835227762,5.564434028897718
employee_6,78.12690434440655,107.09798778606367,7.840467374815875
employee_7,92.63370252405913,113.27823435959087,8.618083687120638
employee_8,86.13947783322327,112.4350827366253,13.171366678656748
employee_9,76.24420491252039,104.54524556767461,11.030854868705385
employee_10,84.34048034868772,110.02090070962608,4.710879533911799
employee_11,76.29265845750031,104.57218185004139,10.972251908184385
employee_12,76.27416197143795,109.46905355188065,8.84475315875105
employee_13,81.93569817252828,109.1344244540411,7.969233999082124
employee_14,64.69375804273761,96.70083296773078,11.835028866522604
employee_15,66.20065733989574,101.36548422814383,13.092998567487854
employee_16,75.50169976607222,102.85933255970129,12.793840357348596
employee_17,71.89735103732461,103.55613781240427,7.4823474303320845
employee_18,82.51397866076219,105.58904694869776,9.072362872446357
employee_19,72.7358073958303,100.98511233970132,10.993790294210692
employee_20,68.70157038931767,101.61466470532885,12.926635381367078
